5255571,1486.62,97.75,3538.93
5255575,986.19,97.75,3329.97
5255581,97.75,97.75,1285.85
5255585,195.69,1992.03,2811.24
5255591,787.40,97.75,787.40
5255596,97.75,97.75,2708.12
5255600,97.75,2297.70,5025.64
5255606,4276.99,1789.26,4170.91
5255610,1890.55,97.75,3748.74
5255616,1992.03,293.83,3329.97
5255620,97.75,97.75,986.19
5255626,886.70,97.75,3225.80
5255630,1486.62,5894.52,6224.07
5255636,293.83,1085.89,2502.50
5255641,97.75,97.75,1085.89
5255645,7903.05,97.75,2708.12
5255651,1992.03,97.75,1789.26
5255655,97.75,1285.85,2708.12
5255661,97.75,97.75,2400.00
5255665,1688.18,2093.72,3434.35
5255671,589.39,195.69,3121.85
5255675,97.75,97.75,5133.47
5255682,5894.52,97.75,1587.31
5255686,392.16,97.75,3538.93
5255690,1386.14,3748.74,4810.64
5255696,97.75,97.75,4065.04
5255700,97.75,97.75,6113.99
5255706,1386.14,97.75,3853.95
5255710,886.70,1185.77,97.75
5255716,97.75,1587.31,2297.70
5255720,97.75,97.75,293.83
5255725,2195.61,2195.61,3121.85
5255731,293.83,1688.18,8704.89
5255735,293.83,2195.61,4383.28
5255741,2093.72,1486.62,8936.17
5255745,7337.52,787.40,2811.24
5255751,986.19,97.75,3853.95
5255755,293.83,97.75,3225.80
5255761,7001.04,97.75,3434.35
5255766,986.19,688.30,986.19
5255772,1386.14,97.75,688.30
5255776,195.69,97.75,1285.85
5255780,97.75,97.75,4170.91
5255786,7337.52,1085.89,1587.31
5255790,97.75,7563.03,97.75
5255796,490.68,787.40,4596.53
5255800,97.75,97.75,1587.31
5255806,97.75,589.39,3748.74
5255811,1085.89,97.75,3329.97
5255815,97.75,97.75,2914.57
5255821,2605.21,1688.18,97.75
5255825,6889.35,1789.26,1185.77
5255831,97.75,97.75,2502.50
5255835,97.75,97.75,3018.10
5255841,97.75,97.75,1185.77
5255845,195.69,886.70,3121.85
5255849,1285.85,97.75,5567.01
5255856,293.83,2811.24,3959.39
5255860,1688.18,2195.61,1587.31
5255866,392.16,986.19,3329.97
5255870,97.75,97.75,97.75
5255876,97.75,2297.70,97.75
5255880,97.75,97.75,886.70
5255884,3538.93,1688.18,3018.10
5255890,1085.89,97.75,3959.39
5255895,97.75,490.68,3434.35
5255901,8359.79,97.75,97.75
5255905,3018.10,1185.77,97.75
5255911,97.75,688.30,4276.99
5255915,1285.85,1789.26,3329.97
5255919,97.75,97.75,5349.79
5255925,195.69,1285.85,3538.93
5255929,886.70,97.75,97.75
5255936,97.75,97.75,3959.39
5255940,97.75,1185.77,589.39
5255944,1285.85,392.16,3748.74
5255950,787.40,97.75,2708.12
5255954,787.40,97.75,2605.21
5255960,97.75,2195.61,2400.00
5255964,2400.00,1587.31,3538.93
5255970,1386.14,9753.48,2502.50
5255974,293.83,97.75,2708.12
5255981,195.69,1992.03,2400.00
